Row,Plot_Name,Plot_ID,Plot_Row_ID,Week,N_total,60cm_T_avg,N_plants,Thrips_Rating_Uche
1,Control,1,1.1,18,20,22.02,12,1.129800148
2,Control,1,1.2,18,20,22.02,12,3.51250279
3,Control,1,1.3,18,20,22.02,12,2.21442308
4,Control,1,1.4,18,20,22.02,11,4.042142469
1,Pesticide,2,2.1,18,20,22.02,12,2.650953602
2,Pesticide,2,2.2,18,20,22.02,12,3.321307758
3,Pesticide,2,2.3,18,20,22.02,12,1.404205539
4,Pesticide,2,2.4,18,20,22.02,12,2.014235971
1,Vehicle,3,3.1,18,20,22.02,20,3.487198357
2,Vehicle,3,3.2,18,20,22.02,19,3.429296741
3,Vehicle,3,3.3,18,20,22.02,20,2.528927253
4,Vehicle,3,3.4,18,20,22.02,20,2.992469586
1,Manual,4,4.1,18,20,22.02,20,2.455944975
2,Manual,4,4.2,18,20,22.02,20,1.638737784
3,Manual,4,4.3,18,20,22.02,20,3.7864516
4,Manual,4,4.4,18,20,22.02,19,3.405290256
1,Control,1,1.1,19,20,22.97,20,1.530319479
2,Control,1,1.2,19,20,22.97,20,3.064610135
3,Control,1,1.3,19,20,22.97,20,1.991174671
4,Control,1,1.4,19,20,22.97,19,3.916000339
1,Pesticide,2,2.1,19,20,22.97,20,2.685157916
2,Pesticide,2,2.2,19,20,22.97,20,3.535822649
3,Pesticide,2,2.3,19,20,22.97,20,1.476515099
4,Pesticide,2,2.4,19,20,22.97,20,1.542116401
1,Vehicle,3,3.1,19,20,20.71,20,3.375839276
2,Vehicle,3,3.2,19,20,20.71,19,3.270123977
3,Vehicle,3,3.3,19,20,20.71,20,3.05668378
4,Vehicle,3,3.4,19,20,20.71,20,3.291095665
1,Manual,4,4.1,19,20,20.71,20,2.30835565
2,Manual,4,4.2,19,20,20.71,20,1.904986108
3,Manual,4,4.3,19,20,20.71,20,3.816220754
4,Manual,4,4.4,19,20,20.71,19,3.812872244
1,Control,1,1.1,20,20,25.01,20,2.56309274
2,Control,1,1.2,20,20,25.01,20,3.760264409
3,Control,1,1.3,20,20,25.01,20,3.44391871
4,Control,1,1.4,20,20,25.01,19,3.921350422
1,Pesticide,2,2.1,20,20,25.01,20,3.190983748
2,Pesticide,2,2.2,20,20,25.01,20,4.077777689
3,Pesticide,2,2.3,20,20,25.01,20,2.766256787
4,Pesticide,2,2.4,20,20,25.01,20,2.777202981
1,Vehicle,3,3.1,20,20,24.84,20,3.689426454
2,Vehicle,3,3.2,20,20,24.84,19,3.516628508
3,Vehicle,3,3.3,20,20,24.84,20,3.611718577
4,Vehicle,3,3.4,20,20,24.84,20,3.281749272
1,Manual,4,4.1,20,20,24.84,20,3.009253454
2,Manual,4,4.2,20,20,24.84,20,2.116592294
3,Manual,4,4.3,20,20,24.84,20,3.805091142
4,Manual,4,4.4,20,20,24.84,19,3.950318764
1,Control,1,1.1,21,20,21.84,20,1.660027291
2,Control,1,1.2,21,20,21.84,20,3.004597113
3,Control,1,1.3,21,20,21.84,20,3.124105249
4,Control,1,1.4,21,20,21.84,19,3.979326058
1,Pesticide,2,2.1,21,20,21.84,20,2.679783077
2,Pesticide,2,2.2,21,20,21.84,20,3.846888408
3,Pesticide,2,2.3,21,20,21.84,20,2.568304938
4,Pesticide,2,2.4,21,20,21.84,20,3.108045187
1,Vehicle,3,3.1,21,20,21.84,20,2.968302254
2,Vehicle,3,3.2,21,20,21.84,19,3.225546178
3,Vehicle,3,3.3,21,20,21.84,20,3.529595386
4,Vehicle,3,3.4,21,20,21.84,20,3.46918036
1,Manual,4,4.1,21,20,21.84,20,2.457573698
2,Manual,4,4.2,21,20,21.84,20,1.454085285
3,Manual,4,4.3,21,20,21.84,20,3.987780102
4,Manual,4,4.4,21,20,21.84,18,3.921808211
1,Control,1,1.1,22,20,20.05,20,1.733062841
2,Control,1,1.2,22,20,20.05,20,1.443531073
3,Control,1,1.3,22,20,20.05,20,2.342753547
4,Control,1,1.4,22,20,20.05,19,2.722954975
1,Pesticide,2,2.1,22,20,20.05,20,1.798680606
2,Pesticide,2,2.2,22,20,20.05,20,3.331172406
3,Pesticide,2,2.3,22,20,20.05,20,2.28059877
4,Pesticide,2,2.4,22,20,20.05,20,1.727578259
1,Vehicle,3,3.1,22,20,20.05,20,0.963506799
2,Vehicle,3,3.2,22,20,20.05,19,1.579238621
3,Vehicle,3,3.3,22,20,20.05,20,2.079436343
4,Vehicle,3,3.4,22,20,20.05,20,1.579734828
1,Manual,4,4.1,22,20,20.05,20,1.519755531
2,Manual,4,4.2,22,20,20.05,20,0.716901241
3,Manual,4,4.3,22,20,20.05,20,2.285020812
4,Manual,4,4.4,22,20,20.05,18,3.005538677
